Country,Crime Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Austria,44.08,94.84,34.34,85.06,76.59,98.31
Belgium,40.62,108.68,35.02,86.01,107.48,90.44
Bosnia And Herzegovina,40.31,50.75,8.44,41.08,39.56,44.37
Bulgaria,41.37,50.92,12.32,42.02,32.96,33.76
Croatia,32.42,67.54,13.94,56.05,52.42,50.14
Czech Republic,36.59,61.44,21.28,49.01,40.89,61.95
Denmark,45.31,116.52,41.31,94.09,130.69,101.98
Estonia,25.00,66.91,15.10,51.28,58.73,47.77
Finland,17.58,99.69,36.47,82.32,96.90,98.14
France,44.76,98.19,35.91,82.96,94.92,92.68
Germany,21.20,88.55,28.94,72.15,76.20,114.37
Greece,52.03,93.09,18.90,69.83,91.17,48.31
Hungary,30.47,59.65,12.67,44.64,43.56,36.81
Iceland,33.33,103.60,32.71,97.74,92.19,78.56
Ireland,46.07,107.77,38.12,97.13,106.06,89.60
Italy,56.67,94.82,34.30,75.97,95.38,68.59
Lithuania,39.06,62.11,14.80,53.02,41.79,33.60
Malta,20.31,83.17,19.49,70.81,69.07,91.73
Netherlands,28.40,104.50,41.15,69.58,104.36,95.17
Norway,19.07,151.34,55.50,142.37,150.23,92.62
Poland,38.70,49.74,16.89,39.45,38.43,59.23
Portugal,40.64,70.76,23.00,56.17,52.24,56.05
Romania,29.59,47.91,12.15,39.81,35.28,34.29
Russia,50.57,64.85,23.81,49.67,67.55,43.86
Serbia,28.70,50.55,11.90,36.47,40.26,31.33
Slovakia,46.88,59.31,23.01,49.21,40.00,49.19
Slovenia,35.71,74.34,25.73,64.70,58.04,57.92
Spain,32.96,80.24,27.30,59.01,74.83,88.01
Sweden,36.24,101.86,29.36,85.33,101.50,100.70
Switzerland,25.78,141.31,58.51,130.55,123.11,127.45
Ukraine,55.39,51.10,14.95,38.39,46.13,25.60
United Kingdom,46.04,100.13,37.85,83.74,94.07,88.35
