Country,Crime Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Albania,51.31,48.96,10.94,41.37,35.25,33.27
Austria,25.83,89.50,33.23,88.71,79.25,91.53
Belarus,32.89,50.35,15.95,46.15,55.79,33.93
Belgium,41.53,100.04,34.89,93.51,105.82,87.93
Bosnia And Herzegovina,44.98,49.76,8.28,45.31,33.65,44.52
Bulgaria,40.02,49.96,11.00,45.32,38.02,37.39
Croatia,28.90,69.04,13.93,62.68,54.75,48.32
Czech Republic,33.88,56.59,17.63,51.01,37.26,62.32
Denmark,29.27,114.87,40.05,102.61,132.27,100.66
Estonia,29.07,67.33,18.07,58.64,54.83,48.67
Finland,29.16,103.28,35.32,100.40,103.17,97.90
France,47.28,100.21,36.86,100.19,98.70,92.29
Germany,27.14,87.14,30.29,77.86,77.83,112.28
Greece,43.05,83.79,15.12,70.51,84.76,44.27
Hungary,37.52,59.27,10.68,48.10,43.63,44.89
Iceland,31.68,111.75,41.07,121.07,106.06,59.54
Ireland,53.59,106.61,39.24,102.67,100.03,94.64
Italy,45.59,96.81,31.55,85.00,104.62,75.39
Latvia,43.74,65.95,16.36,54.34,53.87,40.22
Lithuania,34.71,59.96,14.65,52.84,41.88,43.24
Luxembourg,31.88,109.93,64.11,97.07,126.51,115.31
Macedonia,41.67,44.17,9.15,37.68,32.44,33.30
Malta,14.17,80.18,17.52,68.90,79.10,72.69
Moldova,46.32,41.56,9.96,35.87,31.08,22.86
Monaco,29.01,57.26,11.64,49.88,50.12,38.75
Netherlands,37.07,98.82,40.94,78.03,115.25,97.54
Norway,33.73,144.45,58.88,135.52,165.88,94.40
Poland,37.53,53.68,18.93,45.19,44.19,57.60
Portugal,35.06,69.30,22.38,57.37,58.18,54.65
Romania,28.73,48.20,12.23,43.87,37.19,36.51
Russia,52.67,61.80,29.65,50.91,68.48,37.30
Serbia,39.28,51.57,10.91,42.70,42.67,37.39
Slovakia,32.72,61.50,22.01,55.26,43.16,52.41
Slovenia,33.21,75.37,22.47,65.19,61.44,60.36
Spain,32.42,77.18,26.41,64.24,79.05,72.48
Sweden,38.28,103.68,33.79,100.35,103.76,106.11
Switzerland,31.79,143.88,63.84,148.50,145.59,138.05
Ukraine,49.37,45.64,15.13,40.81,40.21,31.00
United Kingdom,42.62,100.11,44.19,94.25,96.94,94.3
