Country,Crime Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Albania,49.60,41.95,8.55,34.10,33.21,34.79
Austria,26.25,76.87,29.20,73.56,70.43,104.55
Belarus,30.50,50.20,17.64,45.38,57.88,35.82
Belgium,42.04,87.22,30.96,79.54,95.93,86.16
Bosnia And Herzegovina,45.82,42.30,7.31,37.52,29.14,44.74
Bulgaria,43.45,43.57,9.49,38.50,33.81,39.88
Croatia,29.34,58.92,11.80,52.32,46.36,50.47
Czech Republic,32.89,48.50,16.61,43.78,33.04,68.07
Denmark,25.71,100.60,34.71,88.59,117.53,105.70
Estonia,28.13,61.20,16.17,48.98,51.51,51.44
Finland,29.55,89.68,29.87,84.30,92.38,101.17
France,49.71,88.37,31.13,85.30,91.06,92.62
Germany,28.49,76.27,27.16,64.85,72.46,111.84
Greece,41.35,68.88,11.92,58.20,70.03,51.89
Hungary,41.76,48.90,9.52,39.30,37.78,46.85
Iceland,33.32,102.14,35.86,103.76,105.21,70.84
Ireland,49.07,92.09,37.47,85.14,91.58,95.72
Italy,47.50,82.72,25.71,71.43,93.07,79.35
Kosovo (Disputed Territory),46.76,40.17,14.76,30.52,29.75,29.19
Latvia,37.22,55.94,13.01,44.79,47.18,44.39
Lithuania,36.69,52.76,13.59,44.55,37.53,46.86
Luxembourg,35.74,91.78,62.31,77.10,110.63,114.70
Macedonia,36.06,37.41,7.02,31.99,28.48,35.48
Malta,25.91,68.81,18.33,58.10,75.93,72.45
Moldova,49.70,34.72,7.69,29.75,28.38,23.70
Montenegro,34.89,48.09,9.59,40.34,41.46,40.24
Netherlands,35.41,85.98,35.50,66.82,102.13,102.02
Norway,31.19,118.59,48.70,110.06,141.45,96.30
Poland,32.99,45.11,15.13,36.50,38.77,63.49
Portugal,35.84,58.22,18.29,47.40,51.07,58.22
Romania,29.72,42.39,10.01,37.43,35.06,40.62
Russia,51.33,61.91,28.73,49.88,71.80,38.86
Serbia,43.43,43.29,8.47,35.00,37.20,39.15
Slovakia,33.34,51.60,17.42,46.94,38.13,56.05
Slovenia,28.71,65.15,17.27,55.58,54.03,64.16
Spain,33.85,65.70,21.53,54.17,71.09,76.71
Sweden,42.09,82.91,27.49,78.72,89.99,110.95
Switzerland,26.77,126.03,57.63,128.44,127.64,146.51
Ukraine,49.36,41.29,12.68,35.53,38.18,27.87
United Kingdom,42.01,92.19,39.19,84.58,95.97,98.12
