Country,Crime Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Albania,47.05,48.64,10.84,40.23,31.83,35.28
Austria,30.44,97.88,36.81,92.75,81.43,87.47
Belarus,26.82,51.32,13.28,41.89,58.09,23.45
Belgium,42.95,108.04,39.18,90.14,115.60,94.09
Bosnia And Herzegovina,43.26,53.40,8.65,47.43,38.07,46.42
Bulgaria,41.47,52.68,12.39,46.89,38.82,37.71
Croatia,32.25,72.24,14.90,64.47,55.98,51.58
Czech Republic,34.12,63.35,21.04,54.69,40.61,60.65
Denmark,30.74,119.95,42.93,103.97,130.50,102.15
Estonia,24.23,70.75,16.80,60.94,53.36,53.09
Finland,32.69,106.99,40.37,101.29,100.24,94.06
France,51.13,103.24,37.99,97.75,100.45,98.11
Germany,23.86,91.64,33.24,80.74,79.68,117.58
Greece,49.76,92.57,18.64,74.67,95.52,49.44
Hungary,33.72,63.90,12.60,50.87,47.33,42.97
Iceland,22.32,112.43,39.30,118.81,99.72,67.91
Ireland,44.95,112.33,40.37,105.55,102.99,95.06
Italy,49.46,101.42,36.21,87.31,107.38,70.44
Latvia,45.71,67.96,15.26,55.36,58.45,41.34
Lithuania,34.61,63.33,16.18,55.36,41.98,42.24
Luxembourg,18.75,124.76,67.68,111.78,130.80,121.39
Macedonia,29.65,46.48,10.72,38.44,33.22,34.90
Malta,18.54,85.61,20.60,73.68,77.57,77.82
Moldova,41.67,47.24,12.89,38.28,37.97,24.52
Montenegro,26.56,63.18,15.20,56.02,55.20,43.94
Netherlands,37.53,103.90,45.71,81.11,107.68,92.88
Norway,25.61,173.85,68.99,162.53,183.30,95.91
Poland,38.93,55.64,20.20,46.58,43.08,54.72
Portugal,34.96,75.31,24.34,61.25,59.09,54.12
Romania,30.02,51.89,14.14,47.31,37.20,35.81
Russia,52.39,69.69,29.38,56.88,73.64,42.96
Serbia,41.23,53.59,11.96,43.53,42.78,36.58
Slovakia,35.16,65.72,24.46,56.16,44.54,53.78
Slovenia,29.60,82.06,26.48,70.49,63.24,59.25
Spain,34.12,83.14,29.09,66.55,80.97,84.04
Sweden,31.81,114.47,36.11,105.57,110.14,106.57
Switzerland,27.58,151.77,70.90,153.05,142.36,137.26
Ukraine,48.95,48.56,14.74,41.48,43.47,31.97
United Kingdom,39.78,102.24,41.10,93.06,94.28,89.07
